username,comments
_imsorryjesus_,sudah terbukti di raja ampat.trada yg beres kacau semua bos😂😂
stenystevenworang,Jadi Bupati Bangun R4? Bangun diri sendiri boleh🤣🤣🤣
kukuhpratama900110,"WTC 10th yg lalu lebih bagus, sekarang gak ke urus😢 emang ga beres 😢"
wahyu_eko1919,"SDH terkenal itu di Raja Ampat,,bisa MEMBANGUN khususnya buat kemakmuran keluarganya besarnya sendiri siapa yg tidak tau saudaranya semua pemegang proyek besar disana selama DIA memimpin🔥🔥🔥, pasti teamnya sudah menyiapkan Amplop besar biar bisa melaju ,,hmmmm,,trus kalau SDH di kasih amplop trus bisa mensejahterakan kita gitu kah,,yg mana pasti akan mencari pengembalian sebesar apa yg SDH dikeluarkan setelah menjabat nanti,,PERCAYALAH🥱🥱🥱🙂‍↔️😏😏🔥🔥"
abdur.3443,Yang tinggal hidup di raja Ampat pasti paham🤪😂😂😂😂😂😂
gust.i6260,"Maaf tpi ini jujur pengalaman sy waktu ke R4, yg saya lihat dan bisa saya bandingkan - R4 itu tdk lebih baik dari Distrik Maladum Mes (Tampa garam - Saoka)"
cr_bapa7,Debat kemarin Pertanyaan apa ❓ jawaban apa miris sih🤦🏾‍♂️🤦🏾‍♂️
onedrejitmau_028,"Terbukti di Debat Kemarin sja sdh tdk Berbobot bru, media stop sentimentris sdh 🤣"
mario_gg_talete,Bole spil prestasi atau beberapa pembangunan yg sudah di bangun selama jadi bupati?
iman_rajack,Ini cerita mop ka 🤣🤣🤣
muh.zainalnarahawarin92,"Media kabar kok berpihak, agak lain memang ko 🤦🤣"
mnuseferh,Kami sbg org raja ampat nyimak sj 🤣
earanoda39,OAP 😂
seraijiee,Tuhar kamu Admin su dapa bayar 🤑💸💸💸💸💸
muh.zainalnarahawarin92,"@guntar bos ko pu kabar, klo mau menggunakan media, gunakan dgn sebaik""nya, bukan dgn cara ko kasih masuk berita salah satu pihak saja, bisa kah bermedia sosial yg baik, apalagi ini akun berita untk semua penggunakan medsos, khususnya wilayah Papua Barat daya, jdi tlg ne kwn, pikir baik baik dlm menggunakan media sosial"
andireanto,Raja ampat gagal total😢
sitirahmaalting,Sangat berpengalaman 👏😂
chriesdelfian13,Kitong 1(satu) ARUS🙌❤️
kara_syatfle,Debat kemarin tra berbobot baru 😂
risaldisumah,Taman deo lbih bagus dri WTC 😂😁
___marselinahu,Main pecek sana😂😂😂
kadwor____smurem,🤣🤣🤣
angel_pakage,"Bintuni dgn raja Ampat 11,12 😂"
iscstmrng,😂😂😂 @ariyadi_tihurua96  @ardalfn  @julanashari
sarhoka_milla,"Bae"" o Jang sampe terpilih baru gubernur Deng wagub baku bombe lagi,pengalaman 2 wakil bupati di raja Ampat baku bombe trus Deng bupatinya 🤣"
wongpapua_66,Masa media berpihak? Bukannya seharusnya media netral dan tidak boleh kampanye? Agak lain media satu ini😂
tekam_yahma,🤣🤣🤣🤣🤣🤣🔥🤣🤣🤣🤣🤣🤣🤣
haumahuwindy,Admin ini dari raja ampat kapa...amplop pica tiap saat kalau posting arus👏👏
73456841121_,𝙼𝚊𝚊𝚏 𝚋𝚘𝚜 𝚛𝚊𝚓𝚊 𝚊𝚖𝚙𝚊𝚝 𝚒𝚝𝚞 𝚔𝚊𝚋𝚞𝚙𝚊𝚝𝚎𝚗 𝚋𝚞𝚔𝚊𝚗 𝚔𝚎𝚕𝚞𝚛𝚊𝚑𝚊𝚗 😆🤣
moesleem_id,"Ikut ARUS selamat, lawan ARUS tenggelam 😭"
anataciaaa213,"Teruji bikin daerah semakin terbelakang, tdk maju, tertinggal, terkotor, termiskin."
aquinn_27,OAP(orang asli palsu)🤣
goldimando,Tra jelas 😂😂😂😂
mila_maay,@megawatimukri 🤣🤣🤣
muhmad_putraaa,Yang komen rj4 tdk bangkit² itu  kek km tersiksa ka slma ini beliau pengorbanan su terlalu bsr tp sma sj trda kata hargai di klian hern sma orng²  smua itu suda Tuhan atur siapa yg akn jdi pemimpin papua tdk usa bacot mau komen² hal yang  faktanya tdk bgtu slma ini pace suda  tercantun adil bru slma ini pengorbanan nya apa angin k jdi kilas klian lupa smua hern sma orng² tdk tau trimaksi!!
yusufseptian29,Iyo eee 😁
